Date,Note
2015-08-04,Initial deployment of PULP1. 15 nodes (Id: 1-15) deployed on the top brackets in the greenhouse.
2015-08-05,Another 15 nodes (Id: 16-30) deployed on bottom brackets in the greenhouse.
2015-08-07,Initial deployment of PULP2. 10 nodes (Id: 31-40) deployed in the oven.
2015-09-28,Updated startup scripts to wait for serial forwarder port to open before starting flat logger.
2015-11-04,Changed batteries on all nodes
2015-11-06,Deployed nodes 100 & 102-109 & 113-119
2015-11-10,Deployed nodes 101 & 110-112
2015-11-16,Nodes 100-119 air flow sensors covered to get zero values
2015-11-24,Batteries changed in 9 & 14 & 23 & 29.
2015-11-25,PULP1 root node refreshed
2015-11-28,Air flow sensors uncovered again.
